2022-11-04 10:33:21.419  INFO [sleuth-traceA,,,] 12100 --- [DiscoveryClient-HeartbeatExecutor-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_SLEUTH-TRACEA/host.docker.internal:sleuth-traceA:62000 - Re-registering apps/SLEUTH-TRACEA
2022-11-04 10:33:21.428  INFO [sleuth-traceA,,,] 12100 --- [DiscoveryClient-HeartbeatExecutor-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_SLEUTH-TRACEA/host.docker.internal:sleuth-traceA:62000: registering service...
2022-11-04 10:33:21.436  INFO [sleuth-traceA,,,] 12100 --- [DiscoveryClient-HeartbeatExecutor-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_SLEUTH-TRACEA/host.docker.internal:sleuth-traceA:62000 - registration status: 204
2022-11-04 10:36:01.233  INFO [sleuth-traceA,,,] 12100 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 10:41:01.235  INFO [sleuth-traceA,,,] 12100 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 10:46:01.236  INFO [sleuth-traceA,,,] 12100 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 10:51:01.240  INFO [sleuth-traceA,,,] 12100 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 10:56:01.248  INFO [sleuth-traceA,,,] 12100 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:01:01.256  INFO [sleuth-traceA,,,] 12100 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:06:01.259  INFO [sleuth-traceA,,,] 12100 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:11:01.260  INFO [sleuth-traceA,,,] 12100 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:16:01.261  INFO [sleuth-traceA,,,] 12100 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:21:01.270  INFO [sleuth-traceA,,,] 12100 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
