2022-11-04 10:33:16.393  INFO [sleuth-traceB,,,] 23384 --- [DiscoveryClient-HeartbeatExecutor-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_SLEUTH-TRACEB/host.docker.internal:sleuth-traceB:62001 - Re-registering apps/SLEUTH-TRACEB
2022-11-04 10:33:16.415  INFO [sleuth-traceB,,,] 23384 --- [DiscoveryClient-HeartbeatExecutor-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_SLEUTH-TRACEB/host.docker.internal:sleuth-traceB:62001: registering service...
2022-11-04 10:33:16.437  INFO [sleuth-traceB,,,] 23384 --- [DiscoveryClient-HeartbeatExecutor-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_SLEUTH-TRACEB/host.docker.internal:sleuth-traceB:62001 - registration status: 204
2022-11-04 10:35:55.433  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 10:40:55.447  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 10:45:55.451  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 10:50:55.453  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 10:55:55.454  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:00:55.469  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:05:55.473  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:10:55.486  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:15:55.488  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:20:55.498  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:25:55.512  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:30:55.518  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:35:55.534  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-04 11:40:55.545  INFO [sleuth-traceB,,,] 23384 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
